OLID,index,author,name,cover
OL71014W,1,C.S. Lewis,The Great Divorce,6984074
OL71166W,2,C.S. Lewis,Out of the Silent Planet,9321665
OL71163W,3,C.S. Lewis,Perelandra,9186044
OL46241W,4,Isaac Asimov,"I, Robot",12385229
OL46375W,5,"Asimov, Robert Silverberg",The Positronic Man,10613027
OL27279528M,6,Isaac Asimov,Nemesis,8761737
OL21046919M,7,Isaac Asimov,The Caves of Steel,14317492
OL46910930M,8,Isaac Asimov,The Naked Sun,13440804
OL46523209M,9,Isaac Asimov,Robots of Dawn,13145622
OL10684930M,10,Isaac Asimov,Robots & The Empire,12991819
OL27156137M,11,Paul Rosolie,Mother of God,12177088
OL43618750M,12,Isaac Asimov,The Stars like Dust,13440807
OL47314631M,13,Isaac Asimov,The Currents of Space,13790484
OL34843993M,14,Franz Kafka,The Metamorphosis,14620492
OL7927774M,15,C.S. Lewis,That Hideous Strength,472870
OL26798601M,16,Isaac Asimov,Pebble in the Sky,13012383
OL38580945M,17,Isaac Asimov,Prelude to Foundation,12816973
OL26839603M,18,Vladimir Lenin,"Imperialism, the Highest Stage of Capitalism",8516316
OL30909269M,19,B. R. Ambedkar,Annihilation of Caste,10507557
OL27284158M,20,Anthony Burgess,A Clockwork Orange,12393415
OL22503321M,21,Isaac Asimov,Forward the Foundation,13436155
OL51566464M,22,Isaac Asimov,Foundation,14612980
OL43003836M,23,Isaac Asimov,Foundation and Empire,13440818
OL7015993M,24,Miguel Cervantes,Don Quixote,14612692
OL797411M,25,H. G. Wells,The Island of Doctor Moreau,311919
OL28343252M,26,H. G. Wells,The War of the Worlds,10291699
OL37751946M,27,H. G. Wells,The Time Machine,12665576
OL7219307M,28,H. G. Wells,The Sleeper Awakes,5690244
OL33914675M,29,James A. Corey,Leviathan Wakes,12429278
OL26318318M,30,James A. Corey,Caliban's War,7992547
OL32667355M,31,James A. Corey,Abaddon’s Gate,11295171
OL6790043M,32,H. G. Wells,The World Set Free,574888
OL6947922M,33,H. G. Wells,The First Men in the Moon,9043083
OL47314617M,34,Isaac Asimov,Second Foundation,13790336
OL26851399M,35,Isaac Asimov,Foundation’s Edge,13145594
OL31977870M,36,Philip K Dick,The Man in the High Castle,10654426
OL26811912M,37,Han Kang,The Vegetarian,8469702
OL7883219M,38,Isaac Asimov,Foundation and Earth,14637490
OL39394632M,39,Han Kang,Greek Lessons,13911444
OL4477537M,40,Homer,The Illiad,10055680
OL35741459M,41,Homer,The Odyssey,12490894
OL1271440M,42,Albert Camus,The First Man,8260905
OL39800428M,43,Fyodor Dostoyevsky,The Brothers Karamazov,12915267
OL6974856M,44,Fyodor Dostoyevsky,The Idiot,9412225
OL24214908M,45,Albert Camus,The Myth of Sisyphus,6542660
OL45634974M,46,James Joyce,Ulysses,13136678
OL50722096M,47,Chandrachur Ghose,India: The Birth of a Republic,0
OL27055552M,48,Joseph Menn,Cult of the Dead Cow,8672071
OL1007546M,49,"Michael Riordan, Lillian Hoddeson",Crystal Fire,247151
OL25898036M,50,Andrew Roberts,Napoleon,7401169
